createdAt,mode,objectId,percent,time,updatedAt
2015-09-25T00:09:06.867Z,Unplugged,Wgzd4XS8PF,0.74,29.5,2015-09-25T00:09:06.867Z
2015-09-25T12:07:37.887Z,Unplugged,X0yIiPseV5,0.95,21.5,2015-09-25T12:07:37.887Z
2015-09-25T00:43:06.400Z,Unplugged,XHm87pL2E0,0.35,63.5,2015-09-25T00:43:06.400Z
2015-09-25T00:36:37.054Z,Unplugged,XL5qHFyhAm,0.41,57,2015-09-25T00:36:37.054Z
2015-09-24T23:51:37.453Z,Unplugged,XLt2OmpQhW,0.93,12,2015-09-24T23:51:37.453Z
2015-09-25T06:40:25.450Z,Charging,XQCanSPoqS,0.23,10.5,2015-09-25T06:40:25.450Z
2015-09-25T00:04:36.343Z,Unplugged,XaqR3L6SId,0.79,25,2015-09-25T00:04:36.343Z
2015-09-25T00:30:36.852Z,Unplugged,YGets40sj6,0.49,51,2015-09-25T00:30:36.852Z
2015-09-25T00:29:36.965Z,Unplugged,YGsnikZZpD,0.5,50,2015-09-25T00:29:36.965Z
2015-09-25T06:29:55.166Z,Start App,YIkv1rDcXP,0,0,2015-09-25T06:29:55.166Z
2015-09-25T08:56:30.380Z,Unplugged,YUvA84M1I3,0.25,42,2015-09-25T08:56:30.380Z
2015-09-25T07:02:34.406Z,Unplugged,YcTjoHGn6H,0.38,19,2015-09-25T07:02:34.406Z
2015-09-25T09:33:54.375Z,Charging,YgeNVhKz3T,0.28,66.5,2015-09-25T09:33:54.375Z
2015-09-25T00:24:36.566Z,Unplugged,YmuP1O8TYb,0.56,45,2015-09-25T00:24:36.566Z
2015-09-25T00:13:36.911Z,Unplugged,YnsSux35o8,0.69,34,2015-09-25T00:13:36.911Z
2015-09-25T07:06:35.209Z,Unplugged,Yyg1tM28x5,0.37,23,2015-09-25T07:06:35.209Z
2015-09-25T00:00:36.336Z,Unplugged,YzJHaL6CTY,0.83,21,2015-09-25T00:00:36.336Z
2015-09-25T11:19:41.326Z,Charging,Z3eRLiECmB,0.98,10,2015-09-25T11:19:41.326Z
